ImageId,Label
1,8
2,7
3,9
4,4
5,0
6,9
7,0
8,1
9,0
10,3
11,0
12,0
13,8
14,0
15,0
16,3
17,9
18,1
19,9
20,9
21,9
22,0
23,1
24,5
25,4
26,6
27,2
28,7
29,5
30,1
31,5
32,8
33,4
34,2
35,0
36,9
37,5
38,5
39,1
40,1
41,2
42,7
43,4
44,9
45,8
46,1
47,8
48,2
49,6
50,1
51,6
52,8
53,0
54,3
55,6
56,2
57,1
58,8
59,2
60,0
61,9
62,8
63,7
64,0
65,1
66,0
67,1
68,9
69,0
70,2
71,8
72,5
73,8
74,8
75,2
76,8
77,9
78,9
79,2
80,0
81,1
82,2
83,1
84,1
85,9
86,2
87,4
88,3
89,2
90,3
91,2
92,0
93,8
94,6
95,1
96,9
97,3
98,0
99,7
100,7
101,0
102,7
103,2
104,0
105,5
106,3
107,0
108,3
109,0
110,8
111,0
112,0
113,9
114,0
115,1
116,7
117,1
118,1
119,9
120,3
121,3
122,9
123,2
124,0
125,3
126,3
127,0
128,9
129,5
130,4
131,3
132,5
133,0
134,0
135,0
136,0
137,3
138,1
139,3
140,6
141,1
142,3
143,4
144,5
145,8
146,8
147,7
148,9
149,1
150,8
151,0
152,3
153,4
154,6
155,5
156,2
157,9
158,2
159,7
160,2
161,3
162,0
163,8
164,1
165,1
166,8
167,2
168,1
169,3
170,0
171,2
172,7
173,9
174,1
175,1
176,9
177,1
178,8
179,3
180,1
181,4
182,8
183,5
184,2
185,4
186,9
187,2
188,1
189,6
190,3
191,6
192,0
193,4
194,6
195,6
196,0
197,8
198,7
199,6
200,0
201,1
202,8
203,0
204,9
205,0
206,0
207,8
208,4
209,0
210,2
211,0
212,9
213,3
214,8
215,7
216,2
217,1
218,6
219,8
220,9
221,4
222,5
223,4
224,9
225,2
226,8
227,9
228,6
229,8
230,0
231,0
232,4
233,8
234,9
235,8
236,1
237,2
238,5
239,8
240,6
241,8
242,9
243,0
244,8
245,5
246,5
247,3
248,0
249,3
250,1
251,9
252,8
253,1
254,3
255,0
256,4
257,2
258,1
259,4
260,4
261,6
262,3
263,3
264,5
265,7
266,0
267,6
268,8
269,3
270,1
271,0
272,8
273,6
274,3
275,9
276,5
277,1
278,8
279,8
280,3
281,0
282,0
283,2
284,0
285,0
286,3
287,8
288,1
289,1
290,8
291,1
292,0
293,7
294,9
295,9
296,1
297,3
298,2
299,3
300,3
301,6
302,5
303,8
304,2
305,6
306,8
307,7
308,1
309,4
310,8
311,8
312,5
313,9
314,0
315,0
316,3
317,3
318,8
319,0
320,8
321,4
322,8
323,1
324,9
325,8
326,4
327,6
328,8
329,8
330,8
331,9
332,3
333,1
